Name	ageatsac	pair	queen	number_offspring_born	number_offspring_most_recent_litter	scaling_factor	femur_bone_length	marrow_area	periosteal_area	Scale	TA	CA	CA.TA	Xbar	Ybar	Ix	Iy	Imax	Imin	Theta	Zx	Zy	MaxXrad	MaxYrad	J	Zp	MaxRad	diamax	diamin	CT.AVE
DVF007	2.76	DV	q	3	3	1740.777361	22.315	0.848	4.022	300pixels/inch	4.0215	3.1232	0.776625637	0.9148	1.3783	1.9381	0.9521	2.208	0.6822	-65.1269	1.308	0.8563	1.1119	1.4817	2.8902	1.8415	1.5695	3.06000976	1.789391986	0.8014443
DVF008	2.75	DV	n	0	0	1719.654557	21.729	0.454	3.562	300pixels/inch	3.5617	3.0717	0.862425246	0.9042	1.2451	1.5056	0.8164	1.7422	0.5798	-63.1799	1.0716	0.766	1.0658	1.4049	2.322	1.5631	1.4855	3.087894934	1.783148717	0.8587253
G10F023	3.95	G10	n	0	0	1764.174124	21.414	0.879	3.587	300pixels/inch	3.5869	2.657	0.740751066	0.9175	1.2133	1.3947	0.8351	1.6694	0.5605	-60.1515	1.0131	0.7226	1.1558	1.3767	2.2298	1.5383	1.4496	3.005317867	1.847433628	0.6613497
G10F024	3.95	G10	q	1	1	1870.510292	23.137	1.78	4.904	300pixels/inch	4.9042	3.0525	0.622425676	1.1727	1.3478	2.1719	1.5395	2.656	1.0554	-56.6355	1.449	1.107	1.3907	1.4989	3.7114	2.246	1.6525	3.419227035	2.187883765	0.5715769
GRF001	3.36	GR_a	q	9	3	1703.870009	21.417	1.17	3.711	300pixels/inch	3.7114	2.4802	0.668265345	0.9973	1.2858	1.2815	0.8991	1.5928	0.5879	-56.1829	0.9979	0.7667	1.1727	1.2842	2.1807	1.4888	1.4647	2.941049826	1.778335725	0.490027
GRF002	3.36	GR_a	n	0	0	1677.868843	21.16	0.61	4.01	300pixels/inch	4.0099	3.3575	0.837302676	0.9899	1.3164	1.8068	1.0715	2.1445	0.7338	-60.7084	1.2603	0.921	1.1634	1.4336	2.8783	1.8596	1.5478	3.205833125	1.87091321	0.8782985
GRF003	2.82	GR_b	n	0	0	1639.555596	20.921	0.485	3.259	300pixels/inch	3.2588	2.7363	0.839664907	0.9412	1.1527	1.1627	0.7442	1.4244	0.4825	-58.19	0.9056	0.6985	1.0655	1.284	1.9069	1.412	1.3505	2.7594732	1.696805648	0.8752408
GRF004	2.81	GR_b	q	2	1	1706.658379	21.322	0.543	3.698	300pixels/inch	3.6985	3.1149	0.8422063	1.0044	1.1956	1.4227	0.9475	1.6938	0.6764	-58.9244	1.0963	0.8544	1.1089	1.2978	2.3702	1.6691	1.42	2.864931489	1.871742112	0.8564876
LAF007	2.75	LA	q	0	0	1248.623279	21.675	0.36	3.47	300pixels/inch	3.47	3.0777	0.886945245	1.1595	1.0874	1.0099	1.1484	1.6048	0.5535	-41.2147	0.8996	0.9487	1.2105	1.1226	2.1583	1.5805	1.3656	2.732209867	1.631508299	1.0117157
LAF008	2.75	LA	n	0	0	1773.962207	22.356	0.174	3.14	300pixels/inch	3.1396	2.9422	0.937125749	0.8487	1.1463	1.1897	0.6122	1.3254	0.4764	-66.4303	0.9172	0.6346	0.9647	1.2971	1.8019	1.3383	1.3464	2.724935097	1.716805688	1.0525147
MAF003	3.1	MA	n	0	0	1654.858813	21.148	0.677	3.813	300pixels/inch	3.8132	3.0886	0.809975873	0.9694	1.3537	1.9725	0.9225	2.3423	0.5528	-62.9632	1.2952	0.8088	1.1406	1.523	2.8951	1.8295	1.5824	3.240762828	1.721361341	0.7539459
MAF006	3.1	MA	q	9	3	1582.747782	20.012	1.431	3.26	300pixels/inch	3.2597	1.7594	0.539742921	0.9124	1.3477	1.0208	0.5786	1.2555	0.3439	-59.5087	0.7669	0.5649	1.0243	1.331	1.5994	1.0646	1.5023	2.972663231	1.591581788	0.2488457
NOF007	2.95	NO	n	0	0	1893.50037	24.46	0.794	4.918	300pixels/inch	4.9179	4.0763	0.828870046	1.1274	1.4158	2.5538	1.6125	2.9814	1.1849	-60.7981	1.6502	1.2943	1.2459	1.5475	4.1663	2.5844	1.6121	3.197715344	2.144207167	0.7580125
